Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.910753333,-0.13140255,-6.93853238,-0.068016567,6.940109832
1.920775333,-0.262396287,-6.240142697,-0.098087043,6.24642728
1.930796333,-0.184791475,-5.417345315,-0.001224407,5.420496255
1.940818333,0.106857994,-4.526118844,0.09114055,4.528297365
1.950839333,0.496732006,-3.488709936,0.051612788,3.524273484
1.960861333,0.398175542,-2.388116016,0.093360738,2.422882188
1.970882333,-0.055043802,-1.489421921,0.024494571,1.49063995
1.980904333,-0.780534658,-0.388329123,-0.08315033,0.875755581
1.990925333,-0.303436432,0.652276933,-0.024339035,0.719813347
2.000947333,-0.087336297,1.710616242,-0.018322835,1.712942288
2.010968333,0.23376408,2.660691867,0.023758407,2.671046859
2.020990333,0.318176496,3.631442225,0.060612822,3.645858312
2.031011333,0.091241908,4.558658015,0.143271986,4.561821439
2.041033333,0.23722026,5.456450908,0.176964812,5.464471293
2.051054333,-0.038215579,6.211665003,0.050924571,6.211991295
2.061076333,0.041972049,6.952837009,0.179952739,6.955292022
2.071097333,0.098996065,7.678798653,0.114826452,7.680295182
2.081119333,-0.006043911,8.326746161,0.085633643,8.327188678
2.091140333,-0.082905332,8.69309878,0.073951491,8.693808631
2.101162333,0.143836635,8.906432689,0.122741827,8.908439694
2.111183333,0.247721165,9.212457245,0.071400935,9.216063821
2.121205333,0.027301906,9.237869829,0.146692023,9.239074787
2.131226333,-0.006502154,9.168395551,0.12438548,9.169241572
2.141248333,0.173871891,9.034325913,0.052226161,9.036149828
2.151269333,0.095630079,8.784049296,0.116152015,8.785337696
2.161291333,0.013006419,8.438975279,0.098947168,8.43956536
2.171312333,-0.032618441,7.998166555,0.062877449,7.998480217
2.181334333,-0.054839304,7.38227056,0.130250237,7.383623168
2.191355333,0.048760315,6.723345489,0.145671684,6.725100176
2.201377333,0.135120483,6.034687911,0.109299663,6.037189921
2.211398333,0.107529547,5.156375309,0.126496909,5.159047432
2.221420333,0.070615311,4.307095887,0.137552825,4.309870332
2.231441333,0.059228846,3.396625061,0.026757444,3.3972468
2.241463333,0.18131525,2.396019259,0.02044362,2.402956814
2.251484333,0.299838549,1.404317597,0.0430396,1.436615285
2.261506333,0.193259815,0.267394908,-0.069351486,0.337133536
2.271527333,-0.037324194,-0.753982159,-0.005563626,0.754925921
2.281549333,-0.367420613,-1.651797784,-0.029035519,1.692417468
2.291570333,-0.345146778,-2.69915836,0.032626879,2.721331782
2.301592333,-0.029439648,-3.626842512,0.033505715,3.627116752
2.311613333,0.11189199,-4.516006085,0.092948509,4.518348172
2.321635333,-0.030802118,-5.509879256,0.024070648,5.51001793
2.331656333,-0.008214694,-6.210203199,-0.074908095,6.21066039
2.341678333,0.106845066,-6.816779902,-0.067423074,6.81795057
2.351699333,0.022093645,-7.425786708,-0.099152405,7.426481506
2.361721333,-0.033301634,-7.966888044,-0.085994416,7.967421738
2.371742333,-0.127470471,-8.411489857,-0.026420644,8.412497156
2.381764333,-0.180300484,-8.688345578,-0.058755162,8.690414796
2.391785333,-0.225610705,-9.006273311,-0.035701929,9.009169428
2.401807333,-0.162863996,-9.023590425,-0.059653879,9.025257195
2.411828333,0.017621827,-8.787741812,-0.068184966,8.788024003
2.421850333,-0.043749027,-8.554536141,-0.061748351,8.55487086
2.431871333,-0.137521286,-8.356520183,-0.053963369,8.357825897
2.441893333,-0.078385644,-8.052615243,-0.055015283,8.053184664
2.451914333,-0.138980596,-7.610718352,-0.05470538,7.612183794
2.461936333,-0.069829925,-7.129621142,-0.049596083,7.130135596
2.471957333,-0.173613992,-6.452897732,-0.063066899,6.455540906
2.481979333,-0.118140251,-5.75686623,-0.05707818,5.758361211
2.492000333,0.060849333,-4.986211978,0.038582852,4.986732514
2.502022333,0.286626729,-4.097173828,0.077342291,4.107915541
2.512043333,0.128251823,-3.207141652,0.013859655,3.209734911
2.522065333,-0.149680882,-2.261182905,0.092277834,2.268009632
2.532086333,-0.110979139,-1.264700852,-0.051884099,1.270620546
2.542108333,-0.252229953,-0.382289498,-0.029291627,0.458937042
2.552129333,-0.169358718,0.620913199,-0.028395249,0.644221907
2.562151333,0.02143211,1.654456659,0.03615275,1.65499039
2.572173333,0.048134302,2.618075021,0.019096422,2.6185871
2.582194333,0.115131987,3.593847259,0.044569817,3.595967181
2.592216333,0.096263186,4.397671596,0.105811214,4.39999751
2.602237333,0.331797219,5.26906168,0.097742057,5.280402815
2.612259333,0.193865038,5.957276623,0.13620738,5.961986319
2.622280333,-0.200124062,6.728690429,0.114506024,6.732639613
2.632302333,-0.153703583,7.310250989,0.091139966,7.31243467
2.642323333,0.017024424,7.71111446,0.084691072,7.711598318
2.652344875,0.254552138,8.187533897,0.19397027,8.193786217
2.662365875,0.233188532,8.432147486,0.002372215,8.435371583
2.672387875,-0.074677792,8.651337966,0.146821831,8.652905987
2.682408875,0.017874819,8.799711063,0.099526627,8.800292032
2.692430875,0.233747927,8.665136225,0.114644018,8.669046496
2.702451875,-0.091866893,8.434790427,0.103572316,8.435926523
2.712473875,0.036026144,8.1933548,0.083228098,8.193856703
2.722494875,0.114493041,7.860194485,0.074254376,7.861378996
2.732516875,-0.026722557,7.454692419,0.115424622,7.455633843
2.742537875,-0.100853799,6.848354867,0.147908828,6.850694336
2.752559875,-0.077783975,6.133062637,0.119150468,6.134713073
2.762580875,0.272059085,5.616437745,0.104317836,5.623990692
2.772602875,0.171948577,4.806568849,0.133183785,4.811487123
2.782623875,-0.005994625,4.010413135,0.105617672,4.011808139
2.792645875,0.009661994,3.065615352,0.022211818,3.065711044
2.802666875,0.217496359,2.204660064,0.03986807,2.21572113
2.812688875,0.278202188,1.12811998,-0.017317699,1.162046062
2.822709875,0.247473024,0.000440094,-0.054124167,0.253322949
2.832731875,-0.142728414,-0.756690809,-0.038249561,0.770983404
2.842752875,-0.394792672,-1.619619386,-0.024610931,1.667223413
2.852774875,-0.296523616,-2.557509269,0.064305924,2.575444654
2.862795875,-0.244961645,-3.454369531,0.074790566,3.463851714
2.872817875,0.059305855,-4.256943734,0.062500303,4.25781557
2.882838875,0.180268471,-5.062498847,0.054252806,5.065997894
2.892860875,0.088782469,-5.868330533,-0.088712786,5.869672523
2.902881875,0.063101831,-6.69296628,-0.080644798,6.693749551
2.912903875,0.054458107,-7.199696513,-0.06732601,7.200217244
2.922924875,-0.093119157,-7.541007262,0.012908898,7.541593223
2.932946875,-0.278846716,-7.921262221,-0.076762832,7.92654043
2.942967875,-0.123872843,-8.259381559,-0.062397977,8.260546091
2.952989875,-0.086668563,-8.399003128,-0.089339023,8.399925384
2.963010875,-0.158636057,-8.411730178,-0.094426686,8.413755784
2.973032875,-0.121773903,-8.268985026,-0.050420541,8.270035337
2.983053875,0.02891672,-8.158632864,-0.040841047,8.15878633
2.993075875,-0.064388607,-7.885841542,0.04733555,7.88624647
3.003096875,-0.094641023,-7.568947597,-0.115231664,7.570416302
3.013118875,-0.047988638,-7.059812989,0.004374887,7.059977442
3.023139875,-0.277489322,-6.563411277,-0.137811272,6.570719889
3.033161875,-0.296675845,-6.015089214,-0.037215189,6.022516067
3.043182875,-0.029943728,-5.326553843,-0.028074821,5.326711994
3.053204875,0.097977809,-4.556466478,0.107244367,4.558781391
3.063225875,0.214272186,-3.742446644,-0.016406702,3.74861156
3.073247875,0.365545265,-2.788117607,0.035373316,2.812200989
3.083268875,0.174765017,-1.81874807,0.028619197,1.827349559
3.093290875,-0.18581291,-1.066583371,-0.036656195,1.083268296
3.103311875,-0.837053114,-0.167940804,0.012572683,0.853826739
3.113333875,-0.241817652,0.745279748,-0.071703236,0.786803046
3.123354875,0.109983367,1.656579783,0.06678105,1.661569326
3.133376875,0.246558684,2.55454093,0.013802353,2.566449113
3.143397875,0.252520377,3.397452734,0.054383199,3.407258304
3.153419875,-0.177014769,4.133440306,0.039281595,4.137415382
3.163440875,0.214044419,4.987152795,0.166376674,4.994515914
3.173462875,0.315581355,5.645582022,0.118929443,5.655646044
3.183483875,-0.078295022,6.402744409,0.149756548,6.40497409
3.193505875,-0.231298145,6.929036502,0.084784627,6.933414319
3.203526875,0.112791255,7.273863181,0.092091892,7.275320499
3.213548875,0.227631484,7.730332503,0.090751711,7.734215705
3.223569875,0.118942307,7.947347234,0.112596323,7.949034738
3.233591875,-0.034999341,8.161162954,0.080563522,8.161635632
3.243612875,-0.105764683,8.210369028,0.127263479,8.212036394
3.253634875,0.107916203,8.069270452,0.087747996,8.070469084
3.263655875,0.091251118,7.819259883,0.114098473,7.820624677
3.273677875,0.012889835,7.556003616,0.115305923,7.556894352
3.283698875,-0.042547813,7.184974979,0.086864482,7.185626013
3.293720875,-0.029246558,6.779988636,0.087165613,6.780612001
3.303741875,0.021388014,6.229328856,0.157674848,6.231360751
3.313763875,0.090985197,5.753471922,0.084168915,5.754806849
3.323784875,0.008200647,5.092180483,0.138343368,5.09406598
3.333806875,0.019910706,4.485069344,0.058378016,4.485493446
3.343827875,0.135429902,3.617464748,0.080662925,3.620897536
3.353849875,0.134435089,2.798117515,0.054164513,2.801868701
3.363870875,0.144936944,1.837270295,0.049061063,1.843631157
3.373892875,0.186261246,0.987187904,-0.038805047,1.005355181
3.383913875,0.221198341,0.099744326,-0.029056569,0.244380688
3.393935875,-0.171884094,-0.728180297,-0.018105319,0.748410642
3.403956875,-0.610402171,-1.635293725,-0.040103713,1.745962395
3.413978875,-0.280529709,-2.441585003,0.086084463,2.459155297
3.423999875,0.096007663,-3.252430092,0.102855447,3.255472042
3.434021875,0.04162715,-4.019653782,-0.000431525,4.019869343
3.444042875,0.017951148,-4.774615277,-0.034866362,4.774776325
3.454064875,0.077057933,-5.472855272,0.005382362,5.47340038
3.464085875,0.032552212,-6.061238363,-0.09431325,6.06205948
3.474107875,0.027003049,-6.630488781,-0.048820742,6.630723498
3.484128875,-0.034020412,-7.114562808,-0.046874789,7.114798562
3.494150875,-0.205312717,-7.468676035,0.011955217,7.471507074
3.504171875,-0.207541219,-7.726977956,-0.065146168,7.730039179
3.514193875,-0.146832484,-7.93762273,-0.096277329,7.939564453
3.524214875,-0.087911462,-7.952609729,-0.078166164,7.953479733
3.534236875,-0.116833673,-7.756352613,-0.081159353,7.757657043
3.544257875,-0.079035243,-7.577395654,-0.013650325,7.577820122
